288.0,-325.0,570.0
353.0,-316.0,526.0
378.0,-336.0,495.0
378.0,-336.0,495.0
367.0,-345.0,487.0
341.0,-344.0,491.0
312.0,-361.0,499.0
296.0,-391.0,503.0
296.0,-391.0,503.0
273.0,-416.0,510.0
251.0,-447.0,510.0
253.0,-493.0,516.0
266.0,-474.0,500.0
266.0,-474.0,500.0
293.0,-432.0,475.0
308.0,-385.0,462.0
268.0,-365.0,486.0
172.0,-381.0,551.0
172.0,-381.0,551.0
56.0,-398.0,593.0
25.0,-392.0,593.0
35.0,-383.0,592.0
68.0,-384.0,615.0
68.0,-384.0,615.0
179.0,-336.0,614.0
313.0,-289.0,544.0
386.0,-295.0,466.0
400.0,-311.0,431.0
400.0,-311.0,431.0
395.0,-338.0,421.0
393.0,-363.0,407.0
393.0,-390.0,393.0
377.0,-424.0,393.0
377.0,-424.0,393.0
333.0,-467.0,420.0
280.0,-483.0,464.0
189.0,-480.0,522.0
42.0,-439.0,574.0
42.0,-439.0,574.0
-84.0,-391.0,575.0
-179.0,-356.0,546.0
-214.0,-333.0,526.0
-237.0,-320.0,503.0
-237.0,-320.0,503.0
-267.0,-312.0,470.0
-303.0,-326.0,456.0
-351.0,-338.0,473.0
-368.0,-334.0,511.0
-368.0,-334.0,511.0
-342.0,-337.0,530.0
-319.0,-363.0,510.0
-312.0,-362.0,482.0
-299.0,-386.0,457.0
-299.0,-386.0,457.0
-280.0,-416.0,433.0
-298.0,-440.0,437.0
-342.0,-464.0,377.0
-304.0,-464.0,332.0
-304.0,-464.0,332.0
-300.0,-504.0,366.0
-345.0,-465.0,407.0
-250.0,-407.0,491.0
-213.0,-376.0,497.0
-213.0,-376.0,497.0
-248.0,-363.0,492.0
-300.0,-337.0,464.0
-356.0,-315.0,415.0
-308.0,-350.0,396.0
-308.0,-350.0,396.0
-279.0,-379.0,277.0
-405.0,-551.0,276.0
-578.0,-672.0,480.0
-523.0,-426.0,631.0
-523.0,-426.0,631.0
-381.0,-342.0,604.0
-338.0,-338.0,576.0
-326.0,-350.0,533.0
-326.0,-346.0,482.0
-302.0,-346.0,482.0
-269.0,-385.0,462.0
-237.0,-403.0,462.0
-327.0,-437.0,469.0
-327.0,-437.0,469.0
-327.0,-437.0,469.0
-202.0,-444.0,408.0
-305.0,-577.0,474.0
-386.0,-518.0,417.0
-386.0,-518.0,417.0
-320.0,-465.0,497.0
-258.0,-407.0,520.0
-275.0,-405.0,467.0
-311.0,-415.0,426.0
-311.0,-415.0,426.0
-334.0,-396.0,413.0
-360.0,-372.0,397.0
-262.0,-412.0,343.0
-302.0,-497.0,202.0
-302.0,-497.0,202.0
-355.0,-738.0,351.0
-418.0,-699.0,593.0
-353.0,-533.0,635.0
-331.0,-478.0,609.0
-331.0,-478.0,609.0
-308.0,-461.0,556.0
-319.0,-425.0,474.0
-274.0,-441.0,409.0
-252.0,-438.0,411.0
-252.0,-438.0,411.0
-348.0,-497.0,411.0
-286.0,-486.0,317.0
-218.0,-571.0,343.0
-275.0,-596.0,393.0
-275.0,-596.0,393.0
-197.0,-590.0,479.0
-96.0,-589.0,501.0
18.0,-547.0,530.0
75.0,-523.0,534.0
75.0,-523.0,534.0
175.0,-494.0,518.0
155.0,-538.0,502.0
115.0,-551.0,518.0
16.0,-592.0,506.0
16.0,-592.0,506.0
-148.0,-605.0,445.0
-238.0,-561.0,407.0
-286.0,-510.0,393.0
-310.0,-488.0,368.0
-310.0,-488.0,368.0
-329.0,-479.0,341.0
-335.0,-485.0,334.0
-338.0,-475.0,347.0
-336.0,-478.0,366.0
-336.0,-478.0,366.0
-337.0,-480.0,387.0
-340.0,-453.0,404.0
-360.0,-416.0,390.0
-385.0,-400.0,352.0
-385.0,-400.0,352.0
-428.0,-364.0,327.0
-447.0,-320.0,209.0
-316.0,-355.0,198.0
-294.0,-441.0,303.0
-294.0,-441.0,303.0
-425.0,-541.0,292.0
-465.0,-507.0,138.0
-418.0,-459.0,99.0
-288.0,-536.0,159.0
-288.0,-536.0,159.0
-277.0,-536.0,279.0
-291.0,-492.0,347.0
-277.0,-449.0,383.0
-266.0,-427.0,373.0
-266.0,-427.0,373.0
-261.0,-424.0,331.0
-235.0,-424.0,290.0
-310.0,-468.0,318.0
-348.0,-416.0,352.0
-348.0,-416.0,352.0
-333.0,-498.0,337.0
-371.0,-517.0,257.0
-393.0,-500.0,262.0
-360.0,-480.0,302.0
-360.0,-480.0,302.0
-352.0,-443.0,345.0
-353.0,-416.0,398.0
-364.0,-369.0,384.0
-399.0,-381.0,379.0
-399.0,-381.0,379.0
-483.0,-358.0,383.0
-546.0,-312.0,281.0
-432.0,-310.0,212.0
-323.0,-350.0,287.0
-323.0,-350.0,287.0
-368.0,-396.0,341.0
-453.0,-390.0,280.0
-424.0,-383.0,211.0
-409.0,-505.0,177.0
-409.0,-505.0,177.0
-262.0,-554.0,360.0
-249.0,-480.0,407.0
-249.0,-447.0,381.0
-242.0,-439.0,343.0
-242.0,-439.0,343.0
-202.0,-399.0,257.0
-217.0,-441.0,272.0
-308.0,-449.0,339.0
-282.0,-411.0,327.0
-282.0,-411.0,327.0
-252.0,-445.0,325.0
-252.0,-469.0,326.0
-252.0,-499.0,354.0
-235.0,-506.0,410.0
-235.0,-506.0,410.0
-228.0,-490.0,451.0
-240.0,-438.0,469.0
-254.0,-350.0,474.0
-1.0,-230.0,474.0
-257.0,-230.0,474.0
-265.0,-138.0,430.0
-268.0,-97.0,404.0
-258.0,-58.0,386.0
-258.0,-27.0,386.0
-247.0,-27.0,357.0
-259.0,-21.0,319.0
-277.0,-39.0,286.0
-294.0,-68.0,273.0
-294.0,-68.0,273.0
-294.0,-68.0,273.0
-306.0,-121.0,309.0
-306.0,-136.0,336.0
-304.0,-145.0,359.0
