timestamp,ax,ay,az,label,subject_id
1781611461094,7532,-14520,-25884,4,A
1781611461115,3344,-9340,-14140,4,A
1781611461136,-10220,18052,9544,4,A
1781611461158,-26532,32767,28300,4,A
1781611461181,-19644,32767,32676,4,A
1781611461202,-8128,32767,22172,4,A
1781611461223,-324,15164,9820,4,A
1781611461245,2132,3688,2356,4,A
1781611461266,4884,-4668,-8792,4,A
1781611461288,5440,-9204,-18584,4,A
1781611461310,5484,-13088,-23580,4,A
1781611461332,4032,-9008,-18796,4,A
1781611461353,-856,-816,-4176,4,A
1781611461375,-16308,32767,19532,4,A
1781611461396,-27008,32767,30716,4,A
1781611461417,-18164,32767,27032,4,A
1781611461439,-6176,29600,16648,4,A
1781611461461,-1164,10420,6512,4,A
1781611461483,4412,936,-3232,4,A
1781611461504,6356,-2976,-10960,4,A
1781611461526,7420,-9412,-17968,4,A
1781611461548,7584,-11648,-19404,4,A
1781611461569,3976,-7596,-12288,4,A
1781611461591,-4712,6516,700,4,A
1781611461613,-18276,32767,14624,4,A
1781611461634,-27652,32767,20832,4,A
1781611461655,-21388,32767,18748,4,A
1781611461677,-11848,32767,13524,4,A
1781611461698,-4372,15892,7400,4,A
1781611461720,-332,5172,-2656,4,A
1781611461742,1092,160,-10312,4,A
1781611461763,5304,-5884,-15408,4,A
1781611461785,5924,-7032,-17700,4,A
1781611461806,3828,-3540,-13888,4,A
1781611461827,1080,1908,-3848,4,A
1781611461849,-10408,20472,14444,4,A
1781611461871,-29808,32767,29296,4,A
1781611461893,-22244,32767,23176,4,A
1781611461915,-8520,30800,16968,4,A
1781611461936,-1468,14596,9696,4,A
1781611461957,2748,2416,-1852,4,A
1781611461979,4224,-2056,-11800,4,A
1781611462001,4864,-5676,-20904,4,A
1781611462023,4760,-5468,-20088,4,A
1781611462044,1748,-1544,-11080,4,A
1781611462065,-2520,6192,2132,4,A
1781611462087,-17552,32767,27168,4,A
1781611462109,-27224,32767,32767,4,A
1781611462131,-10480,32767,26772,4,A
1781611462153,-1796,20592,16300,4,A
1781611462173,852,7072,5580,4,A
1781611462195,4216,-828,-7656,4,A
